date,game_id,week,season,home,away,p_home,p_elo,model,result,final_margin,sp_margin,sp_line,p_sp_elo,sp_ver,p_sp_m75,p_sp_m35,p_sp_m05,p_sp_p35,p_sp_p75,cal,pick_team,pick_side,pick_line,pick_p,pick_push,home_line,away_line,pick_p_win,pick_p_cover,mode_margin,mode_p,median_team,median_line,pick_rule,pick,pick_claim,pick_prob,pick_result,pick_held,k_-20.5,k_-13.5,k_-9.5,k_-6.5,k_-5.5,k_-2.5,k_+3.5,k_+6.5,k_+7.5,k_+10.5,k_+14.5,k_+21.5,mkt_line,mkt_books,mkt_books_total,mkt_agree,model_total,ref_total,ref_home_ml,ref_away_ml
2024-09-23,2024_03_JAX_BUF,3,2024,BUF,JAX,0.7688107031163893,0.7140086639945648,v1-backfill,37.0,37.0,9.097718694255684,7.5,0.5924225754605854,3,0.9246177960260488,0.855070265766405,0.7688107031163893,0.6378925631431022,0.4895084939679072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-23,2024_03_WAS_CIN,3,2024,CIN,WAS,0.7279857879903077,0.6774955847394972,v1-backfill,-5.0,-5.0,7.98458225272009,6.5,0.5582474249488159,3,0.9093056238363992,0.8279040300923624,0.7279857879903077,0.5998506864088076,0.4560379992568347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26,2024_04_DAL_NYG,4,2024,NYG,DAL,0.2932420295424993,0.4768223776865852,v1-backfill,-5.0,-5.0,-5.494625828518358,-4.5,0.3167850005919599,3,0.6301979430707566,0.4604493261281198,0.2932420295424993,0.1948202954586744,0.1100527864794276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,2024_04_BUF_BAL,4,2024,BAL,BUF,0.4337986109291018,0.5307877936253035,v1-backfill,25.0,25.0,-1.5147959260250738,-2.5,0.3826460738724366,3,0.730535090685456,0.5846647074778552,0.4337986109291018,0.3127263613008308,0.1980673623581719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,2024_04_CIN_CAR,4,2024,CAR,CIN,0.2625938414025413,0.4398202813850648,v1-backfill,-10.0,-10.0,-7.27686893802515,-6.5,0.2840383482241262,3,0.5695181728381427,0.4103388507136458,0.2625938414025413,0.16958454196546,0.0920251018137264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,2024_04_CLE_LV,4,2024,LV,CLE,0.5935246211309646,0.5483557500268854,v1-backfill,4.0,4.0,2.667382695334729,2.5,0.4120877567125322,3,0.8269490031840983,0.7154168610813048,0.5935246211309646,0.4460320324233365,0.2991803353915158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,2024_04_DEN_NYJ,4,2024,NYJ,DEN,0.6611502652948227,0.5796110229245302,v1-backfill,-1.0,-1.0,4.474753644149654,3.5,0.4490394479078639,3,0.8504700923227342,0.7591820903743244,0.6611502652948227,0.5122099793998938,0.3581875839669662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,2024_04_JAX_HOU,4,2024,HOU,JAX,0.5757155793289356,0.6050379543004245,v1-backfill,4.0,4.0,2.4011380266336064,2.5,0.4575703016082613,3,0.818833243113004,0.7025823852910476,0.5757155793289356,0.4353947540013543,0.2945926185703326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,2024_04_KC_LAC,4,2024,LAC,KC,0.3109164820150689,0.377815609828242,v1-backfill,-7.0,-7.0,-5.6447453998371975,-4.5,0.2551008948154437,3,0.6149849598323318,0.4591326421039345,0.3109164820150689,0.2099306400044486,0.1213262261976929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,2024_04_LA_CHI,4,2024,CHI,LA,0.3502575773044454,0.4869043327511236,v1-backfill,6.0,6.0,-3.628496394112192,-3.5,0.3505099042032913,3,0.6702599423889168,0.5103274096512999,0.3502575773044454,0.2521414200070594,0.1593796035744961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-29,2024_04_MIN_GB,4,2024,GB,MIN,0.6258346659127364,0.5916299730282683,v1-backfill,-2.0,-2.0,3.829867779471924,3.5,0.4540490013943174,3,0.8489622093855462,0.7437824946690038,0.6258346659127364,0.4802995420281842,0.3315757390783814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
