date,fight_id,event,A,B,p_win_a,p_elo,p_distance,p_a_ko,p_a_sub,p_a_dec,p_b_ko,p_b_sub,p_b_dec,model,result,went_dist,close,meth_pick,meth_p,meth_base,meth_hit
2026-04-25,bf157,UFC Fight Night: Sterling vs. Zalal,Mayra Bueno Silva,Michelle Montague,0.3077745383530716,0.3941674619657382,0.4531583762168361,0.0407946895969402,0.1293299187163283,0.137649930039803,0.148704541169793,0.2280124743001023,0.315508446177033,v1-backfill,0.0,True,,,,,
2026-04-25,bf158,UFC Fight Night: Sterling vs. Zalal,Cody Durden,Jafel Filho,0.3002835217173952,0.3968531696306863,0.3599638586333039,0.0547066785542237,0.0628683543513512,0.1827084888118203,0.0940633066945345,0.4283978017665866,0.1772553698214835,v1-backfill,1.0,True,,,,,
2026-04-25,bf159,UFC Fight Night: Sterling vs. Zalal,Francis Marshall,Lucas Brennan,0.3735726640306478,0.4026489856716996,0.4222892207354893,0.0924691834759666,0.0832320028877414,0.1978714776669398,0.1603099970520454,0.2416995958487573,0.2244177430685494,v1-backfill,1.0,True,,,,,
2026-04-25,bf160,UFC Fight Night: Sterling vs. Zalal,Max Griffin,Victor Valenzuela,0.3804681630078465,0.4586733509925029,0.5046727384927092,0.0755228124748603,0.0317541115042161,0.27319123902877,0.1430650650066114,0.2449852725216028,0.2314814994639391,v1-backfill,0.0,True,,,,,
2026-04-25,bf161,UFC Fight Night: Sterling vs. Zalal,Julia Polastri,Talita Alencar,0.4848782652686529,0.4577963692059553,0.5954203900771579,0.1552513565689277,0.0579434649858712,0.271683443713854,0.0872245681029248,0.1041602202651183,0.3237369463633038,v1-backfill,0.0,True,,,,,
2026-05-02,bf162,UFC Fight Night: Della Maddalena vs. Prates,Carlos Prates,Jack Della Maddalena,0.3789414599376953,0.4637796319019234,0.3054984871144997,0.2521817900298252,0.040263225773769,0.086496444134101,0.2944389418184073,0.1076175552634988,0.2190020429803987,v1-backfill,1.0,False,,,,,
2026-05-02,bf163,UFC Fight Night: Della Maddalena vs. Prates,Beneil Dariush,Quillan Salkilld,0.3449079563985527,0.5679028268378382,0.4854336635976587,0.0626693134486364,0.0516422166048576,0.2305964263450585,0.3113013303085267,0.0889534760403204,0.2548372372526001,v1-backfill,0.0,False,,,,,
2026-05-02,bf164,UFC Fight Night: Della Maddalena vs. Prates,Steve Erceg,Tim Elliott,0.6137522647720565,0.4979599019553527,0.5929351402673562,0.1381586093447686,0.1328748802389077,0.3427187751883799,0.0679971091250993,0.0680342610238679,0.2502163650789762,v1-backfill,1.0,True,,,,,
2026-05-02,bf165,UFC Fight Night: Della Maddalena vs. Prates,Marwan Rahiki,Ollie Schmid,0.6650841064342743,0.5271941664712877,0.4743582479802091,0.2548711095148601,0.0987299312440711,0.311483065675343,0.0964296221150144,0.0756110891458451,0.162875182304866,v1-backfill,1.0,False,,,,,
2026-05-02,bf166,UFC Fight Night: Della Maddalena vs. Prates,Brando Pericic,Shamil Gaziev,0.6197356935655267,0.5189107051232211,0.326053683860687,0.4226968054071878,0.040046893513875,0.1569919946444638,0.1747945956303892,0.0364080215878609,0.1690616892162231,v1-backfill,1.0,False,,,,,
2026-05-02,bf167,UFC Fight Night: Della Maddalena vs. Prates,Louie Sutherland,Tai Tuivasa,0.4394081436934093,0.4327420937355637,0.2868866875253372,0.2020765522456362,0.1089571145762477,0.1283744768715252,0.3587176702942413,0.0433619753585373,0.1585122106538119,v1-backfill,1.0,True,,,,,
2026-05-02,bf168,UFC Fight Night: Della Maddalena vs. Prates,Cameron Rowston,Robert Bryczek,0.6711583851105545,0.5506977014060975,0.4649862044717432,0.2970764672617322,0.0735260337775988,0.3005558840712233,0.1183373705748655,0.0460739239140601,0.1644303204005199,v1-backfill,1.0,True,,,,,
2026-05-02,bf169,UFC Fight Night: Della Maddalena vs. Prates,Junior Tafa,Kevin Christian,0.5295441849396055,0.4767900643254916,0.2949266046608543,0.3030449605219779,0.070981577214771,0.1555176472028565,0.1784472584660047,0.1525995991363919,0.1394089574579977,v1-backfill,1.0,False,,,,,
2026-05-02,bf170,UFC Fight Night: Della Maddalena vs. Prates,Gerald Meerschaert,Jacob Malkoun,0.2466175287513139,0.3830931958631688,0.5102684394960658,0.0308491138044635,0.1334568742888295,0.0823115406580208,0.2436526502486131,0.0817729221620278,0.427956898838045,v1-backfill,0.0,True,,,,,
2026-05-02,bf171,UFC Fight Night: Della Maddalena vs. Prates,Colby Thicknesse,Vince Morales,0.6702092322755169,0.5693855933147369,0.5886904740431175,0.2068016773857523,0.0855508711048401,0.3778566837849244,0.0832886523689557,0.0356683250973343,0.2108337902581931,v1-backfill,1.0,True,,,,,
2026-05-02,bf172,UFC Fight Night: Della Maddalena vs. Prates,Ben Johnston,Wesley Schultz,0.4895281596565297,0.5287505638922686,0.4652760441848538,0.1774357361092407,0.0950295639467037,0.2170628596005852,0.1470552136167924,0.1152034421424093,0.2482131845842685,v1-backfill,0.0,False,,,,,
2026-05-02,bf173,UFC Fight Night: Della Maddalena vs. Prates,Jonathan Micallef,Themba Gorimbo,0.6324651359540567,0.5337030431140701,0.5227687817745359,0.1041458065605628,0.2561755243668151,0.2721438050266788,0.0796256509059439,0.0372842363921422,0.250624976747857,v1-backfill,1.0,True,,,,,
2026-05-02,bf174,UFC Fight Night: Della Maddalena vs. Prates,Dom Mar Fan,Kody Steele,0.6439183870467958,0.5480605732436629,0.5649750629164993,0.1503838830068478,0.1013721233448248,0.3921623806951232,0.1032676907650721,0.0800012399667558,0.1728126822213761,v1-backfill,0.0,False,,,,,
2026-05-09,bf175,UFC 328,Khamzat Chimaev,Sean Strickland,0.6131879978989279,0.5282443322661616,0.5011963462285844,0.192745493712363,0.1501944606666139,0.2702480435199509,0.1146092742544598,0.0412544251379788,0.2309483027086334,v1-backfill,0.0,True,,,,,
2026-05-09,bf176,UFC 328,Joshua Van,Tatsuro Taira,0.5719423547905321,0.5044888924466484,0.4478937293780479,0.2029825205167134,0.0729476782991756,0.296012155974643,0.1767134980429121,0.0994625737631509,0.1518815734034049,v1-backfill,1.0,False,,,,,
2026-05-09,bf177,UFC 328,Alexander Volkov,Waldo Cortes Acosta,0.4122514202671463,0.5054311214383082,0.4671858175528714,0.1556056786495262,0.0389502302472048,0.2176955113704152,0.2880681376639268,0.0501901358864706,0.2494903061824561,v1-backfill,1.0,True,,,,,
2026-05-09,bf178,UFC 328,Joaquin Buckley,Sean Brady,0.5010542113421184,0.5079412680705113,0.4830695236164403,0.2547701018959264,0.0298307335384702,0.2164533759077217,0.1154411276353755,0.1168885133137875,0.2666161477087186,v1-backfill,0.0,True,,,,,
2026-05-09,bf179,UFC 328,Jeremy Stephens,King Green,0.3138679816629854,0.4123760416574262,0.5464816572460642,0.0944483013099386,0.0264211904699196,0.192998489883127,0.2488089050139497,0.0838399459601277,0.3534831673629371,v1-backfill,0.0,False,,,,,
2026-05-09,bf180,UFC 328,Ateba Gautier,Osman Diaz,0.8512277020463926,0.5961862790387542,0.4781627995505859,0.3530973371487642,0.0910929162375161,0.4070374486601122,0.0423116778839441,0.0353352691791895,0.0711253508904736,v1-backfill,1.0,False,,,,,
2026-05-09,bf181,UFC 328,Joel Alvarez,Yaroslav Amosov,0.630607255066512,0.6062797118630003,0.5105435319237077,0.2351923949377018,0.0994296941786067,0.2959851659502034,0.0891478855914024,0.0656864933685812,0.2145583659735043,v1-backfill,0.0,False,,,,,
2026-05-09,bf182,UFC 328,Grant Dawson,Mateusz Rebecki,0.7135333144986384,0.6500128176324957,0.5606926780786579,0.1952619291747132,0.1110457235598127,0.4072256617641123,0.0948937101976718,0.0381059589891441,0.1534670163145455,v1-backfill,1.0,False,,,,,
2026-05-09,bf183,UFC 328,Jared Gordon,Jim Miller,0.4659557030853187,0.4323186828115359,0.5341989399406385,0.1381439579070803,0.0491154603964841,0.2786962847817541,0.1424610009943143,0.1360806407614825,0.2555026551588844,v1-backfill,0.0,False,,,,,
2026-05-09,bf184,UFC 328,Marco Tulio,Roman Kopylov,0.546948353018588,0.4798665595430822,0.4200482710878974,0.2220626307922476,0.1083040463666213,0.216581675859719,0.216796637201853,0.0327884145513805,0.2034665952281783,v1-backfill,0.0,True,,,,,
2026-05-09,bf185,UFC 328,Pat Sabatini,William Gomis,0.4793799963075061,0.5612090106096769,0.6095265834092605,0.0701552926568655,0.0955798305354184,0.3136448731152221,0.1826640067295856,0.0420742866688699,0.2958817102940382,v1-backfill,1.0,True,,,,,
2026-05-09,bf186,UFC 328,Baisangur Susurkaev,Djorden Santos,0.654074152889112,0.5285939785012171,0.4744687098639515,0.2507549115627159,0.0970570119141533,0.3062622294122427,0.0996478914456402,0.0780714752135389,0.1682064804517088,v1-backfill,1.0,False,,,,,
2026-05-09,bf187,UFC 328,Clayton Carpenter,Jose Ochoa,0.5654074362758316,0.5149933596703996,0.4028581922214427,0.0870233727070141,0.2600575675139982,0.2183264960548192,0.1557745054111365,0.0942863621464083,0.1845316961666234,v1-backfill,0.0,True,,,,,
2026-05-16,bf188,UFC Fight Night: Allen vs. Costa,Arnold Allen,Melquizael Costa,0.5079358911845903,0.5378186402871898,0.3618395022645288,0.2062796466712114,0.1117741207192305,0.1898821237941482,0.2020479773773072,0.1180587529677218,0.1719573784703805,v1-backfill,1.0,True,,,,,
2026-05-16,bf189,UFC Fight Night: Allen vs. Costa,Choi Doo Ho,Daniel Santos,0.3240757635276458,0.4572886964061061,0.4942208200869336,0.1157573741084438,0.0514139668862638,0.1569044225329381,0.2867891931671185,0.05181864575124,0.3373163975539955,v1-backfill,1.0,False,,,,,
2026-05-16,bf190,UFC Fight Night: Allen vs. Costa,Juan Diaz,Malcolm Wellmaker,0.3438725574013248,0.4716549557413233,0.4629812606355004,0.09904788403639,0.077612533264666,0.1672121401002688,0.2820629683019511,0.0782953537614924,0.2957691205352316,v1-backfill,1.0,False,,,,,
2026-05-16,bf191,UFC Fight Night: Allen vs. Costa,Christian Edwards,Modestas Bukauskas,0.3132324689533026,0.3885697676636275,0.515603302703658,0.1181792348458321,0.0354853011384396,0.1595679329690307,0.2249782139139106,0.1057539473981595,0.3560353697346272,v1-backfill,0.0,True,,,,,
2026-05-16,bf192,UFC Fight Night: Allen vs. Costa,Bernardo Sopaj,Timothy Cuamba,0.4108474942674299,0.4850842699685547,0.5542274113144966,0.0948060332758188,0.0651431398084298,0.2508983211831812,0.2207574345000192,0.0650659811012355,0.3033290901313153,v1-backfill,1.0,False,,,,,
2026-05-16,bf193,UFC Fight Night: Allen vs. Costa,Khaos Williams,Nikolay Veretennikov,0.5363360228446397,0.5737196291916459,0.4983566597731136,0.2345181444266444,0.0413071337954092,0.260510744622586,0.1408517170000883,0.0849663450047444,0.2378459151505275,v1-backfill,1.0,False,,,,,
2026-05-16,bf194,UFC Fight Night: Allen vs. Costa,Ivan Erslan,Tuco Tokkos,0.4852779583109883,0.4706441409113264,0.3250098852466529,0.1861060724192031,0.134404086519202,0.1647677993725831,0.1175934370177123,0.2368865187972295,0.1602420858740698,v1-backfill,1.0,True,,,,,
2026-05-16,bf195,UFC Fight Night: Allen vs. Costa,Artur Minev,Thomas Gantt,0.5007219517479401,0.5,0.4875991911980606,0.1428183911199764,0.1137519419405537,0.2441516186874099,0.1424065538248583,0.1134239219165509,0.2434475725106507,v1-backfill,0.0,False,,,,,
2026-05-16,bf196,UFC Fight Night: Allen vs. Costa,Jacqueline Cavalcanti,Ketlen Vieira,0.631098966657523,0.4977848681277014,0.6960710277893001,0.1523791741595917,0.0581476422125915,0.4205721502853397,0.0533706726853661,0.0400314831531504,0.2754988775039603,v1-backfill,0.0,True,,,,,
