date,game_id,season,home,away,p_home,p_home_binary,p_elo,model,result
2024-10-24,2024020117,2024,LAK,SJS,0.7625970089224677,0.7735806895178077,0.7027507321434869,v2-decomp-backfill,1.0
2024-10-25,2024020118,2024,VGK,OTT,0.5303774838012671,0.5419779234001986,0.5985976095020458,v2-decomp-backfill,1.0
2024-10-25,2024020119,2024,NJD,NYI,0.3766643172455931,0.3827896399874431,0.5523326126893656,v2-decomp-backfill,0.0
2024-10-25,2024020120,2024,CHI,NSH,0.3391551318936027,0.3267549256671007,0.4387228645830645,v2-decomp-backfill,0.0
2024-10-25,2024020121,2024,EDM,PIT,0.6836153073134942,0.6802219765015534,0.6099665291055715,v2-decomp-backfill,1.0
2024-10-26,2024020122,2024,BUF,DET,0.5515999880905271,0.5576604432643553,0.5428920954399853,v2-decomp-backfill,1.0
2024-10-26,2024020123,2024,PHI,MIN,0.506364322864357,0.504934067798344,0.4709319823228762,v2-decomp-backfill,1.0
2024-10-26,2024020124,2024,LAK,UTA,0.6029638313224018,0.597136561642743,0.6060254041043784,v2-decomp-backfill,1.0
2024-10-26,2024020125,2024,BOS,TOR,0.4553657440376626,0.4445060431549858,0.5575500242327845,v2-decomp-backfill,1.0
2024-10-26,2024020126,2024,MTL,STL,0.4190222105258282,0.4078876561555803,0.4638052308665874,v2-decomp-backfill,1.0
2024-10-26,2024020127,2024,TBL,WSH,0.5949146389406473,0.6130208563832154,0.5740118574476465,v2-decomp-backfill,1.0
2024-10-26,2024020128,2024,NYR,ANA,0.6885732988167554,0.7083905694306153,0.7158442518745817,v2-decomp-backfill,1.0
2024-10-26,2024020129,2024,CGY,WPG,0.5579621282524649,0.5710503024521904,0.4799346748310529,v2-decomp-backfill,0.0
2024-10-26,2024020130,2024,NYI,FLA,0.44727607728269,0.4031390252165077,0.4533737877883665,v2-decomp-backfill,0.0
2024-10-26,2024020131,2024,NSH,CBJ,0.6244508999969317,0.5930164503293255,0.6234776013893019,v2-decomp-backfill,1.0
2024-10-26,2024020132,2024,DAL,CHI,0.766931570220164,0.7873452058423243,0.7286780895150855,v2-decomp-backfill,1.0
2024-10-26,2024020133,2024,VAN,PIT,0.6391017934969709,0.6277268620521166,0.6069346511831865,v2-decomp-backfill,1.0
2024-10-26,2024020134,2024,VGK,SJS,0.6812140919647462,0.6708814750221237,0.7318553139632519,v2-decomp-backfill,1.0
2024-10-26,2024020135,2024,SEA,CAR,0.3480361369573578,0.3382942985905535,0.4435469820543253,v2-decomp-backfill,0.0
2024-10-27,2024020136,2024,DET,EDM,0.2868654884166752,0.2685397756969341,0.4878010776886982,v2-decomp-backfill,0.0
2024-10-27,2024020137,2024,NJD,ANA,0.6442443616751984,0.7169147237094994,0.6267776317644231,v2-decomp-backfill,1.0
2024-10-27,2024020138,2024,PHI,MTL,0.6583952491636098,0.6483124709793016,0.5703632916111343,v2-decomp-backfill,0.0
2024-10-27,2024020139,2024,COL,OTT,0.611301625899022,0.6355511811698978,0.6166726477496844,v2-decomp-backfill,1.0
2024-10-28,2024020140,2024,BUF,FLA,0.4443350754867294,0.4303185305589172,0.4486156587649493,v2-decomp-backfill,0.0
2024-10-28,2024020141,2024,TBL,NSH,0.5166127696486227,0.5196701500773837,0.5766369811383609,v2-decomp-backfill,1.0
2024-10-28,2024020142,2024,CBJ,EDM,0.3884555484012673,0.3722448986020534,0.421156121381965,v2-decomp-backfill,1.0
2024-10-28,2024020143,2024,WPG,TOR,0.5071671833862818,0.5015904667687091,0.5970710748504691,v2-decomp-backfill,0.0
2024-10-28,2024020144,2024,COL,CHI,0.6906477273225485,0.681379780427456,0.7125814087221177,v2-decomp-backfill,0.0
2024-10-28,2024020145,2024,UTA,SJS,0.6874966138346325,0.6981587608909947,0.6576535160725919,v2-decomp-backfill,0.0
