date,gamePk,home,away,p_home,p_home_elo,model,h5,a5,result
20260418,823151,SEA,TEX,0.5529880198144864,0.5078573166984776,v2-backfill,3.0,0.0,1.0
20260418,823394,PIT,TB,0.6125619657718522,0.526229513680559,v2-backfill,4.0,5.0,0.0
20260418,823474,PHI,ATL,0.5604445993738929,0.5436277951410042,v2-backfill,1.0,3.0,0.0
20260418,823558,NYY,KC,0.6404465394729114,0.5730673645515394,v2-backfill,7.0,0.0,1.0
20260418,823721,MIN,CIN,0.6062999706977733,0.5253003627229968,v2-backfill,4.0,2.0,1.0
20260418,823882,MIA,MIL,0.4400794552876507,0.4518194175814697,v2-backfill,1.0,3.0,0.0
20260418,824206,HOU,STL,0.602534583879915,0.5256847298927814,v2-backfill,1.0,4.0,0.0
20260418,824372,COL,LAD,0.3507471021842347,0.4076886794324281,v2-backfill,2.0,3.0,0.0
20260418,824451,CLE,BAL,0.5549482931755317,0.5328451468144423,v2-backfill,3.0,1.0,1.0
20260418,824775,BOS,DET,0.4192137949675525,0.5106818286474792,v2-backfill,1.0,4.0,0.0
20260418,825020,ATH,CWS,0.5925356880758078,0.5362301208221032,v2-backfill,3.0,5.0,0.0
20260418,825098,AZ,TOR,0.5775693218360105,0.5609904434227008,v2-backfill,2.0,1.0,1.0
20260419,822750,WSH,SF,0.4123039454389532,0.4960670827445778,v2-backfill,3.0,0.0,1.0
20260419,823150,SEA,TEX,0.5802410073471269,0.5135206685755148,v2-backfill,5.0,0.0,1.0
20260419,823393,PIT,TB,0.5245240385422453,0.5201841982455747,v2-backfill,4.0,2.0,1.0
20260419,823475,PHI,ATL,0.5293506572265527,0.5374102338403813,v2-backfill,2.0,4.0,0.0
20260419,823556,NYY,KC,0.5814124432738168,0.5778705864542201,v2-backfill,7.0,0.0,1.0
20260419,823718,MIN,CIN,0.5514943136975512,0.5307483208923554,v2-backfill,3.0,1.0,1.0
20260419,823881,MIA,MIL,0.4464084523361332,0.4466713018377718,v2-backfill,3.0,0.0,1.0
20260419,824047,LAA,SD,0.4688246315164937,0.4907527101426686,v2-backfill,0.0,1.0,0.0
20260419,824205,HOU,STL,0.5989352029411077,0.5196450709172421,v2-backfill,1.0,4.0,0.0
20260419,824452,CLE,BAL,0.5883151637064472,0.5381962696965605,v2-backfill,6.0,4.0,1.0
20260419,824691,CHC,NYM,0.5506448238643816,0.555145431485277,v2-backfill,0.0,1.0,0.0
20260419,824777,BOS,DET,0.5863751754552383,0.5048038645255196,v2-backfill,1.0,5.0,0.0
